#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
34.38,14.21,13.31,20.09,427,13.39,22.94,absorption,39939,0,
34.31,14.21,13.31,20.00,511,13.45,26.64,absorption,41603,0,
34.25,14.21,13.31,20.00,438,13.48,25.45,absorption,43267,0,
34.25,14.21,13.31,19.95,510,13.51,27.30,absorption,44931,0,
34.19,14.22,13.32,19.92,421,13.51,26.63,absorption,46595,0,
34.19,14.22,13.32,19.86,511,13.54,29.12,absorption,48259,0,
34.25,14.21,13.31,19.80,434,13.56,27.84,absorption,49923,0,
34.19,14.21,13.31,19.80,512,13.56,29.60,absorption,51587,0,
34.25,14.21,13.31,19.75,438,13.59,29.54,absorption,53251,0,
34.25,14.21,13.31,19.72,510,13.62,30.71,absorption,54915,0,
34.25,14.21,13.31,19.77,440,13.65,29.92,absorption,56580,0,
34.25,14.21,13.31,19.63,510,13.65,32.30,absorption,58244,0,
34.25,14.21,13.31,19.66,439,13.68,30.91,absorption,59908,0,
34.25,14.21,13.31,19.63,511,13.68,33.26,absorption,61572,0,
34.25,14.21,13.31,19.69,512,13.71,31.85,absorption,63236,0,
34.25,14.21,13.31,19.57,513,13.74,33.47,absorption,64900,0,
34.31,14.21,13.31,19.63,513,13.74,33.26,absorption,66564,0,
34.25,14.21,13.31,19.52,511,13.76,34.29,absorption,68229,0,
34.25,14.21,13.31,19.60,510,13.76,34.06,absorption,69893,0,
34.19,14.22,13.32,19.49,512,13.79,35.07,absorption,71557,0,
34.13,14.22,13.32,19.55,439,13.76,34.82,absorption,73221,0,
34.06,14.22,13.32,19.49,509,13.79,35.80,absorption,74885,0,
34.00,14.22,13.32,19.43,415,13.82,35.52,absorption,76549,0,
33.94,14.22,13.32,19.46,441,13.82,36.48,absorption,78213,0,
33.94,14.22,13.32,19.40,512,13.85,36.87,absorption,79877,0,
33.81,14.22,13.32,19.43,510,13.85,35.87,absorption,81541,0,
33.81,14.22,13.32,19.40,438,13.88,38.03,absorption,83205,0,
33.88,14.22,13.32,19.43,440,13.88,37.14,absorption,84868,0,
33.88,14.22,13.32,19.43,512,13.88,38.03,absorption,86532,0,
33.94,14.22,13.32,19.37,511,13.91,37.66,absorption,88196,0,
33.88,14.22,13.32,19.32,511,13.91,38.53,absorption,89860,0,
33.88,14.22,13.32,19.32,417,13.94,38.13,absorption,91524,0,
33.88,14.22,13.32,19.32,434,13.97,38.98,absorption,93187,0,
33.81,14.22,13.32,19.32,438,13.94,39.27,absorption,94851,0,
33.75,14.22,13.32,19.37,439,13.97,38.85,absorption,96515,0,
33.81,14.22,13.32,19.37,510,13.97,39.66,absorption,98179,0,
33.75,14.22,13.32,19.43,512,13.99,39.21,absorption,99842,0,
33.75,14.22,13.32,19.35,511,13.99,40.01,absorption,101506,0,
33.69,14.22,13.32,19.37,509,14.02,39.53,absorption,103170,0,
33.75,14.22,13.32,19.32,512,14.02,40.29,absorption,104834,0,
33.69,14.22,13.32,19.37,435,14.05,39.79,absorption,106497,0,
33.75,14.22,13.32,19.40,511,14.05,40.52,absorption,108161,0,
33.75,14.22,13.32,19.35,511,14.05,40.69,absorption,109825,0,
33.75,14.22,13.32,19.26,512,14.05,40.86,absorption,111489,0,
33.75,14.22,13.32,19.23,431,14.05,41.03,absorption,113153,0,
33.75,14.22,13.32,19.26,439,14.05,41.20,absorption,114817,0,
33.75,14.22,13.32,19.29,511,14.05,41.37,absorption,116480,0,
33.75,14.22,13.32,19.26,511,14.05,41.54,absorption,118144,0,
33.75,14.22,13.32,19.20,512,14.05,41.71,absorption,119808,0,
33.75,14.22,13.32,19.17,427,14.05,41.88,absorption,121472,0,
33.81,14.22,13.32,19.20,438,14.02,42.05,absorption,123136,0,
33.81,14.22,13.32,19.23,442,14.08,42.22,absorption,124800,0,
33.88,14.22,13.32,19.23,510,14.05,41.69,absorption,126463,0,
33.81,14.22,13.32,19.17,512,14.08,42.38,absorption,128127,0,
33.88,14.22,13.32,19.17,437,14.08,42.53,absorption,129791,0,
33.88,14.22,13.32,19.23,439,14.08,42.66,absorption,131455,0,
33.94,14.22,13.32,19.20,511,14.08,42.80,absorption,133119,0,
33.94,14.22,13.32,19.14,426,14.11,42.24,absorption,134783,0,
34.00,14.22,13.32,19.17,440,14.08,43.61,absorption,136447,0,
34.00,14.22,13.32,19.17,510,14.11,42.48,absorption,138111,0,
34.00,14.22,13.32,19.14,440,14.08,43.16,absorption,139775,0,
34.00,14.22,13.32,19.23,512,14.11,43.26,absorption,141439,0,
34.06,14.22,13.32,19.17,416,14.08,42.66,absorption,143103,0,
34.06,14.22,13.32,19.17,440,14.11,44.01,absorption,144767,0,
34.06,14.22,13.32,19.20,512,14.14,42.85,absorption,146431,0,
34.13,14.22,13.32,19.14,438,14.14,43.49,absorption,148095,0,
34.13,14.22,13.32,19.23,512,14.14,43.57,absorption,149759,0,
34.13,14.22,13.32,19.20,439,14.14,42.94,absorption,151423,0,
34.13,14.22,13.32,19.17,510,14.14,44.26,absorption,153087,0,
34.13,14.22,13.32,19.26,436,14.14,43.08,absorption,154751,0,
34.13,14.22,13.32,19.17,510,14.17,44.39,absorption,156415,0,
34.13,14.22,13.32,19.23,437,14.17,43.21,absorption,158079,0,
34.13,14.22,13.32,19.23,511,14.17,43.82,absorption,159743,0,
34.06,14.22,13.32,19.26,437,14.17,43.17,absorption,161407,0,
34.06,14.22,13.32,19.23,510,14.19,44.46,absorption,163071,0,
